crop,state,costofcultivation/hectarea2fl,costofcultivation/hectarec2,costofproduction/quintalc2,yieldquintal/hectare,production200607,production200708,production200809,production200910,production201011,area200607,area200708,area200809,area200910,area201011,yield200607,yield200708,yield200809,yield200910,yield201011,variety,season/durationindays,unnamed4,200405,200506,200607,200708,200809,200910,201011,201112,frequency,unit,31993,31994,31995,31996,31997,31998,31999,32000,32001,32002,32003,32004,32005,32006,32007,32008,32009,32010,32011,32012,32013,32014
rapeseed and mustard,Gujarat,13740.64,19083.55,1610.4,11.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rapeseed and mustard,Haryana,14715.27,27507.54,1251.12,19.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sugarcane,Uttar Pradesh,24538.32,45239.51,93.64,448.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sugarcane,Karnataka,55655.44,86765.77,86.53,986.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sugarcane,Andhra Pradesh,56621.16,91442.63,119.72,757.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sugarcane,Maharashtra,57673.6,85801.95,107.56,744.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sugarcane,Tamil Nadu,66335.06,89025.27,85.79,1015.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wheat,Madhya Pradesh,12464.4,22489.75,810.25,23.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wheat,Punjab,17945.58,35423.48,804.8,39.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wheat,Uttar Pradesh,18979.38,31902.74,769.84,34.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wheat,Rajasthan,19119.08,29876.36,683.58,37.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total foodgrains,,,,,,158.8,168.6,171.3,159.4,178.9,128.5,128.8,127.6,126.0,131.7,123.6,130.9,134.3,126.5,135.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rice,,,,,,200.8,207.9,213.3,191.6,206.4,168.5,168.9,175.1,161.2,164.8,119.2,123.1,121.8,118.9,125.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wheat,,,,,,131.6,136.4,140.1,140.3,150.8,115.0,115.2,114.0,116.9,119.5,114.4,118.4,122.8,120.0,126.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jowar,,,,,,124.3,137.8,126.0,116.5,121.8,120.7,110.6,107.3,111.0,105.2,103.0,124.6,117.4,105.0,115.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bajra,,,,,,136.4,161.5,143.9,105.4,167.9,94.5,95.1,87.0,88.5,95.6,144.3,169.7,165.4,119.0,175.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maize,,,,,,198.8,249.6,259.8,220.1,286.0,156.1,160.5,161.6,163.4,169.1,127.3,155.5,160.7,134.7,169.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ragi,,,,,,56.1,83.6,79.3,73.4,85.2,60.2,70.9,70.6,64.8,65.8,93.2,117.9,112.2,113.2,129.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
small millets,,,,,,53.9,61.9,50.0,42.9,82.0,50.9,52.3,45.6,41.8,45.0,106.0,118.3,109.7,102.7,182.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barley,,,,,,88.1,79.3,112.0,89.9,110.3,72.8,67.9,79.5,70.2,79.4,121.0,116.9,141.0,127.9,138.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coarse cereals,,,,,,138.5,166.4,163.5,137.0,178.4,106.4,105.6,101.8,102.6,105.4,130.1,157.6,160.7,133.5,169.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cereals,,,,,,164.1,174.6,177.7,164.4,183.1,130.0,129.9,130.3,126.8,129.8,126.3,134.4,136.4,129.7,141.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gram,,,,,,140.6,127.6,156.5,165.9,182.5,122.3,123.1,128.8,133.3,149.9,115.0,103.7,121.7,124.5,121.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arhar,,,,,,97.0,128.9,94.9,103.3,119.9,99.7,104.3,94.5,97.0,122.2,97.3,123.6,100.4,106.5,98.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other pulses,,,,,,139.1,148.9,131.4,118.4,179.5,131.3,133.8,117.1,126.1,139.1,105.9,111.3,112.2,93.9,129.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total pulses,,,,,,130.3,135.4,133.7,134.5,167.4,122.1,124.4,116.3,122.6,139.0,106.7,108.8,114.9,109.7,120.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total non-food grains,,,,,,155.4,156.8,141.2,143.2,168.4,126.6,128.6,131.5,126.7,136.5,122.8,122.0,107.4,113.1,123.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total oilseeds,,,,,,148.2,150.9,140.8,135.9,169.0,124.8,126.2,129.0,126.1,134.0,118.7,119.6,109.1,107.8,126.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
groundnut,,,,,,115.2,217.5,169.8,128.6,195.7,124.1,139.1,136.3,121.1,129.5,92.8,156.3,124.6,106.2,151.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sesamum,,,,,,95.5,116.8,98.8,90.8,137.9,74.2,78.4,78.8,84.6,90.7,128.7,149.1,125.4,107.4,151.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rapeseed &mustard,,,,,,138.7,108.8,134.3,123.2,152.5,107.0,91.8,99.3,88.1,108.8,129.6,118.5,135.2,139.9,140.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linseed,,,,,,55.9,54.4,56.4,51.2,48.8,47.9,51.3,44.8,37.5,39.4,116.8,106.1,126.0,136.5,123.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
castor seed,,,,,,124.7,172.3,191.6,165.0,220.9,91.7,114.8,126.4,107.2,128.5,136.0,150.1,151.5,153.9,171.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
safflower,,,,,,67.3,62.8,53.0,50.1,42.1,55.8,47.4,43.6,42.6,36.1,120.6,132.6,121.5,117.5,116.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
niger seed,,,,,,65.1,59.0,63.0,53.8,58.0,75.7,65.8,63.5,60.6,59.9,86.0,89.6,99.2,88.8,96.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunflower,,,,,,161.3,192.3,152.2,111.8,85.6,175.0,154.5,146.5,119.3,75.1,92.2,124.5,103.9,93.7,114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soyabean,,,,,,253.2,313.8,283.4,285.1,364.4,222.7,237.5,254.5,260.3,256.8,113.7,132.1,111.4,109.5,141.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nine oilseeds,,,,,,147.1,180.2,167.9,150.7,196.7,126.1,126.9,131.0,123.4,129.4,116.7,142.0,128.1,122.1,152.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coconut,,,,,,142.7,91.4,91.4,97.5,97.7,123.5,121.4,121.4,120.9,120.9,115.5,75.3,75.3,80.7,80.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cotton seed,,,,,,186.1,212.8,183.2,197.5,271.3,121.7,125.3,125.2,134.8,149.5,152.9,169.9,146.3,146.5,181.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total fibers,,,,,,186.1,203.5,179.1,196.6,239.3,118.3,121.7,120.9,129.4,141.9,157.3,167.2,148.2,152.0,168.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cotton(lint),,,,,,213.1,243.8,209.8,226.2,310.8,121.7,125.3,125.2,134.8,149.5,175.2,194.6,167.6,167.8,207.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jute,,,,,,220.3,218.3,205.8,239.8,213.8,103.6,106.4,102.6,106.0,101.1,212.7,205.2,200.5,226.3,211.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mesta,,,,,,81.7,84.6,62.4,50.1,52.2,67.2,69.1,54.5,44.5,46.6,121.6,122.5,114.6,112.7,112.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jute & mesta,,,,,,200.7,199.6,184.5,210.4,189.1,95.7,98.3,92.2,92.7,89.3,209.7,203.0,200.1,227.0,211.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sannhamp,,,,,,97.9,93.0,87.8,69.0,109.9,54.2,51.4,45.0,45.0,47.6,180.7,182.7,195.2,179.4,230.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tea,,,,,,132.2,132.8,132.0,132.0,132.0,135.3,137.8,137.8,137.8,137.8,97.7,96.3,95.8,95.8,95.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coffee,,,,,,138.0,139.8,139.9,154.5,161.1,117.9,119.8,121.9,123.7,125.4,117.0,116.7,114.8,125.0,128.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rubber,,,,,,215.5,208.6,216.5,210.1,210.1,98.6,138.1,143.8,149.2,149.2,218.5,151.1,151.9,140.9,140.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total spices,,,,,,1427.7,1571.5,1463.0,1430.3,1790.6,121.3,125.9,126.5,122.0,136.6,1176.6,1247.7,1156.8,1172.1,1310.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
black pepper,,,,,,134.2,91.5,92.2,99.2,101.1,130.8,104.7,126.9,104.2,97.8,102.6,87.4,72.7,95.2,103.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dry chilies,,,,,,163.5,170.8,167.1,158.3,160.9,83.6,88.3,85.4,84.0,86.8,195.5,193.4,195.8,188.4,185.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dry ginger,,,,,,206.3,200.6,199.3,202.0,368.1,176.2,172.9,180.4,179.4,247.4,117.1,116.0,110.5,112.6,148.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
turmeric,,,,,,158.6,160.1,165.5,159.8,200.2,134.3,131.9,136.2,136.2,146.7,118.1,121.4,121.5,117.4,136.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arecanut,,,,,,182.5,184.3,185.5,184.3,184.3,167.7,169.5,169.7,175.4,175.4,108.8,108.7,109.3,105.1,105.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cardamom,,,,,,159.2,135.8,157.1,159.2,162.2,93.4,77.8,87.5,85.8,82.7,170.5,174.7,179.6,185.6,196.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coriander,,,,,,126.4,167.9,131.3,128.5,261.3,79.1,94.8,97.9,88.8,130.7,159.8,177.2,134.1,144.7,199.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
garlic,,,,,,226.2,311.3,242.1,243.0,308.2,187.6,241.6,195.8,194.4,236.8,120.6,128.8,123.6,125.0,130.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total fruits & vegetables,,,,,,162.6,184.9,241.9,240.3,274.5,139.3,145.0,173.8,170.9,188.3,116.7,127.5,139.2,140.6,145.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
potato,,,,,,135.7,174.2,210.5,223.8,259.1,142.2,148.8,175.1,175.8,178.4,95.5,117.1,120.2,127.4,145.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tapioca,,,,,,146.4,151.5,167.1,140.0,140.3,105.1,103.9,114.8,95.1,90.6,139.2,145.7,145.6,147.1,154.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sweet potato,,,,,,81.1,79.3,94.2,92.1,88.1,75.8,75.4,88.4,84.6,80.4,106.9,105.2,106.6,108.8,109.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
onion,,,,,,240.5,247.3,367.1,329.1,409.1,207.7,208.4,246.8,223.6,314.7,115.8,118.7,148.8,147.1,130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banana,,,,,,189.3,201.1,298.8,301.7,339.4,117.6,131.2,174.8,189.8,204.6,161.0,153.3,171.0,159.0,165.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sugarcane,,,,,,149.8,146.7,120.1,123.2,144.3,142.6,140.0,122.2,115.6,135.2,105.1,104.8,98.3,106.6,106.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tobacco,,,,,,88.1,83.6,96.4,105.3,140.9,88.8,83.9,94.2,107.1,118.8,99.1,88.3,102.4,109.6,118.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paddy,"Andhra Pradesh, Tamil Nadu, Gujarat, Orissa, and West Bengal under irrigated conditions. ",,,,,,,,,,,,,,,,,,,,Chinsurah Rice (IET 19140),Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paddy,,,,,,,,,,,,,,,,,,,,,(CNI 383-5-11),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paddy,"Chhattisgarh, Madhya Pradesh and Orissa under  both irrigated and rainfed conditions.",,,,,,,,,,,,,,,,,,,,IGKVR-1 (IET 19569),Mid-early,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paddy,"Chhattisgarh, Bihar and Orissa under  both irrigated and rainfed conditions.",,,,,,,,,,,,,,,,,,,,IGKVR-2 (IET 19795),Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paddy,"Orissa, West Bengal, Tamil Nadu and Andhra Pradesh under irrigated late sown conditions as well as shallow rainfed lowland.",,,,,,,,,,,,,,,,,,,,CR Dhan 401 (REETA) ,145-150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paddy,"Boro Area of Orissa, West Bengal and Assam.",,,,,,,,,,,,,,,,,,,,CR Dhan 601 (IET 18558),160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paddy,Semi deep water condition of Uttar Pradesh and Assam.,,,,,,,,,,,,,,,,,,,,CR Dhan 501 (IET 19189),152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paddy,Terraced area of Meghalaya and Manipur hills both under irrigated and rainfed condition.,,,,,,,,,,,,,,,,,,,,RC Maniphou 11 (IET 20193),132-135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wheat,"Madhya Pradesh, Chhattisgarh, Gujarat and Rajasthan (Kota and Udaipur Division only) under timely sown irrigated condition.",,,,,,,,,,,,,,,,,,,,MPO(JW)  1215 (MPO 1215),120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wheat,"Maharashtra, Karnataka, Andhra Pradesh and Tamil Nadu under timely sown irrigated condition.",,,,,,,,,,,,,,,,,,,,MACS 6222,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wheat,"Punjab, Haryana, Western Uttar Pradesh, Delhi, Rajasthan (Excluding Kota & Udaipur Divisions), Tarai Regions of Uttarakhand, Paonta Valley & Una District of Himachal Pradesh under timely sown irrigated conditions.",,,,,,,,,,,,,,,,,,,,PDW 314,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wheat,"Eastern Uttar Pradesh, Bihar, Jharkhand, West Bengal, Assam and Orissa under timely sown irrigated condition.",,,,,,,,,,,,,,,,,,,,DBW39,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wheat,"Himachal Pradesh,  Jammu & Kashmir, Uttarakhand and Sikkim under timely sown irrigated conditions.",,,,,,,,,,,,,,,,,,,,VL Gehun 907 (VL 907),167 irrigated   & 180 rainfed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wheat,"Himachal Pradesh, Uttarakhand, Jammu and Kashmir and the North Eastern state under timely sown rainfed condition in lower and mid hills.",,,,,,,,,,,,,,,,,,,,Pusa Suketi  HS 507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wheat,"Eastern Uttar Pradesh, Bihar, Jharkhand, West Bengal (except Hills), Orissa, Assam and the place of North Eastern states in late sown condition.",,,,,,,,,,,,,,,,,,,,Pusa Prachi (HI 1563),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wheat,"Punjab, Haryana, Delhi, Rajasthan (except Kota and Udaipur divisions), West Uttar Pradesh (except Jhansi Divisions) Jammu and Kathua districts of Jammu and Kashmir, Paonta valley and Una district of Himachal Pradesh, and tarai region of Uttarakhand.",,,,,,,,,,,,,,,,,,,,WHD 943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wheat,"Maharshtra, and Karnataka under rainfed condition and restricted irrigated condition.",,,,,,,,,,,,,,,,,,,,Netravati  (NIAW 1415),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barley,"Punjab, Haryana, Western Uttar Pradesh (Excluding Jhansi Division), Delhi, Rajasthan (Excluding Kota & Udaipur Divisions), Tarai Regions of Uttarakhand & Jammu and Kathua District of J & K under timely sown irrigated conditions.",,,,,,,,,,,,,,,,,,,,BH-902,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barley,"Punjab, Haryana, Western Uttar Pradesh, Delhi and Rajasthan (except Kota and Udaipur region) under irrigated late sown condition.",,,,,,,,,,,,,,,,,,,,DWRB 73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barley,"Himachal Pradesh, Uttarakhand, Jammu & Kashmir and North Eastern States under timely sown rainfed conditions.",,,,,,,,,,,,,,,,,,,,Pusa Losar  (BH- 380),190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maize,Himachal Pradesh and Uttarakhand under Kharif season.,,,,,,,,,,,,,,,,,,,,HSC1,80-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maize,"Punjab, Haryana, Delhi, West and Central UP, Bihar, Jharkhand, Orissa, Eastern UP, Andhra Pradesh, Karnataka, Tamilnadu, Maharashtra, Rajasthan, Madhya Pradesh, Gujarat and Chhattisgarh under Kharif Season.",,,,,,,,,,,,,,,,,,,,HQPM-4,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maize,"Karnataka, Tamil Nadu and Maharashtra in Kharif season under irrigated and rainfed conditions.",,,,,,,,,,,,,,,,,,,,MCH 36 (Hybrid) (DKC 9099),99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maize,"Andhra Pradesh, Maharashtra, Tamil Nadu and Karnataka in Kharif season.",,,,,,,,,,,,,,,,,,,,DHM 119 (BH 4062),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maize,"Punjab, Haryana, Delhi and western Uttar Pradesh under irrigated condition.",,,,,,,,,,,,,,,,,,,,PMH 4 (JH 31153),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maize,"Rajasthan, Madhya Pradesh, Gujarat and Chhattisgarh in Kharif season under both irrigated and rainfed condition.",,,,,,,,,,,,,,,,,,,,PMH 5 (JH 3110),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pearl millet,"Rajasthan, Gujarat, Haryana, MP, UP, Punjab and Delhi in Kharif season.",,,,,,,,,,,,,,,,,,,,Nandi-65 (MH-1549),80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pearl millet,"Rajasthan, Gujarat, Haryana, Punjab and Delhi in Kharif season.",,,,,,,,,,,,,,,,,,,,Nandi-61 (MH-1548),81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pearl millet,"Rajasthan, Gujarat, Maharashtra and Tamil Nadu in summer season.",,,,,,,,,,,,,,,,,,,,86M64 (MSH 203) (Hybrid),80-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pearl millet,"Andhra Pradesh, Karnataka, Tamil Nadu   and Maharashtra under normal Kharif season.",,,,,,,,,,,,,,,,,,,,MH 1540 (86M64) (Hybrid),80-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
